"DATE__C","STATE__C","CURED__C","DEATHS__C","CONFIRMED__C","ERROR"
"2020-03-14T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Delhi","2","1","7","Deaths: invalid number: 1"
"2020-03-15T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-15T00:00:00Z","Kerala","3","0","22","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Maharashtra","0","0","32","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Telengana","1","0","3","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Jammu and Kashmir","0","0","2","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Uttar Pradesh","4","0","13","Deaths: invalid number: 0"
"2020-03-15T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Delhi","2","1","7","Deaths: invalid number: 1"
"2020-03-16T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-16T00:00:00Z","Kerala","3","0","23","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Maharashtra","0","0","32","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Odisha","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Rajasthan","3","0","4","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Telengana","1","0","3","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Jammu and Kashmir","0","0","3","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Ladakh","0","0","4","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Uttar Pradesh","4","0","13","Deaths: invalid number: 0"
"2020-03-16T00:00:00Z","Uttarakhand","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Delhi","2","1","8","Deaths: invalid number: 1"
"2020-03-17T00:00:00Z","Haryana","0","0","15","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Karnataka","0","1","11","Deaths: invalid number: 1"
"2020-03-17T00:00:00Z","Kerala","3","0","26","Deaths: invalid number: 0"
"2020-03-17T00:00:00Z","Maharashtra","0","1","39","Deaths: invalid number: 1"
